barcode,foodcode,usdadescmain,hei_score
087642815643,2026.0,"Spices, onion powder",0.08
087642712300,2028.0,"Spices, paprika",0.11
D-7110,58148140.0,Macaroni or pasta salad with crab meat,0.08
021131501037,27317010.0,Beef pot pie,0.07
027700661232,53301000.0,"Pie, apple, two crust",0.03
036800144798,57124200.0,Chocolate flavored frosted puffed corn cereal,0.06
041415020382,91107000.0,"Sucralose-based sweetener, sugar substitute",0.67
036800179134,73111212.0,"Peas and carrots, cooked, from frozen, fat not added in cooking",0.1
036800179141,75109600.0,"Corn, raw",0.12
031200200716,92550040.0,"Fruit juice drink, low calorie",0.01
021500011341,81301000.0,Garlic sauce,0.08
041716878910,14107030.0,"Cheese, Mozzarella, part skim",0.06
073420516208,14204010.0,"Cheese, cottage, lowfat (1-2% fat)",0.08
050000009282,53200100.0,"Cookie, batter or dough, raw",0.05
050000622610,53200100.0,"Cookie, batter or dough, raw",0.05
071757056275,28143200.0,"Chicken in soy-based sauce, rice and vegetables (frozen meal)",0.06
037600636605,25221250.0,Pepperoni,0.3
041129396407,74404010.0,"Spaghetti sauce, meatless",0.08
029000016668,42110300.0,"Mixed nuts, honey-roasted, with peanuts",0.12
029000017269,42110000.0,"Mixed nuts, NFS",0.17
078742143231,92900110.0,"Fruit-flavored beverage, dry concentrate, with sugar, not reconstituted",0.56
017300010332,2047.0,"Salt, table",0.08
030243868952,43101100.0,"Pumpkin and/or squash seeds, hulled, roasted, salted",0.38
041498131616,42116000.0,Walnuts,0.11
049000023459,92410350.0,"Soft drink, cola-type, decaffeinated, sugar-free",0.01
011110020086,51150000.0,"Roll, white, soft",0.04
070870000028,51160110.0,"Roll, sweet, cinnamon bun, frosted",0.18
011110099570,51185000.0,Croutons,0.21
011110834621,81103080.0,"Margarine-like spread, tub, salted",0.03
070100060808,10123.0,"Pork, cured, bacon, unprepared",0.11
011110401212,11111000.0,"Milk, cow's, fluid, whole",0.01
041625182122,26319130.0,"Shrimp, steamed or boiled",0.11
072329000023,64401000.0,Vinegar,0.28
078742094595,61104230.0,"Grapefruit and orange sections, cooked, canned, or frozen, in light syrup",0.11
077013069058,5100.0,"Chicken, broilers or fryers, wing, meat and skin, raw",0.02
027000382462,74401010.0,Tomato catsup,0.08
078742283791,75205023.0,"Beans, string, green, cooked, from canned, fat not added in cooking",0.19
876941003277,92191100.0,"Coffee, dry instant powder, regular",0.48
078742013886,54301000.0,"Cracker, snack",0.13
034700054117,72125213.0,"Spinach, cooked, from canned, fat not added in cooking",0.13
078742120737,75216113.0,"Corn, yellow, cooked, from canned, fat not added in cooking",0.17
070110000016,25221410.0,"Pork sausage, fresh, bulk, patty or link, cooked",0.07
813905000606,31101010.0,"Egg, whole, raw",0.06
053700000306,25230210.0,"Ham, sliced, prepackaged or deli, luncheon meat",0.01
079426760003,14650100.0,Cheese sauce,0.01
078742429564,41420450.0,Worcestershire sauce,0.03
021130252282,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
021130493913,14620150.0,"Dip, cheese with chili pepper (chili con queso)",0.12
021130291069,71201015.0,"White potato chips, regular cut",0.19
021130291106,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.1
041196418422,14650100.0,Cheese sauce,0.08
041196427325,74403010.0,Tomato sauce,0.06
021130044986,14410200.0,"Cheese, processed, American or Cheddar type",0.17
021130044993,14107010.0,"Cheese, Mozzarella, NFS",0.17
025293001664,64134000.0,"Fruit smoothie drink, made with fruit or fruit juice only (no dairy products)",0.05
616112061428,74402150.0,"Salsa, red, commercially-prepared",0.15
070801103026,11623000.0,"Meal supplement or replacement, commercially prepared, ready-to-drink",0.1
022000008589,91802000.0,"Chewing gum, sugarless",0.76
041220334490,83114000.0,Thousand Island dressing,0.05
041220031153,64100200.0,"Fruit juice blend, with cranberry, 100% juice",0.02
085592104534,93505000.0,Vodka,0.04
034000087525,91705030.0,Kit Kat,0.08
034000076109,91705030.0,Kit Kat,0.09
085239024317,42202000.0,Peanut butter,0.09
085239432310,51107010.0,"Bread, French or Vienna",0.06
085239010389,82101000.0,"Vegetable oil, NFS",0.03
085239010884,81103090.0,"Margarine-like spread, liquid, salted",0.25
041129491324,74404010.0,"Spaghetti sauce, meatless",0.04
731224240124,94100100.0,"Water, bottled, unsweetened",0.0
049000028201,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.04
049000026276,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.04
052200010112,67109010.0,"Pears, baby food, strained",0.26
070247174086,10123.0,"Pork, cured, bacon, unprepared",0.08
021000005154,14420200.0,"Cheese spread, cream cheese, regular",0.12
021000632350,14104250.0,"Cheese, Colby Jack",0.19
043000045749,91501010.0,Gelatin dessert,0.06
041143025703,62125100.0,Raisins,0.26
016000274426,11382.0,"Potatoes, mashed, dehydrated, granules with milk, dry form",0.29
016000274457,11382.0,"Potatoes, mashed, dehydrated, granules with milk, dry form",0.29
041331031882,13210350.0,Flan,0.22
041331037792,2034.0,"Spices, poultry seasoning",0.38
041190028795,8132.0,"Cereals, oats, instant, fortified, with raisins and spice, dry",0.23
041190044092,8128.0,"Cereals, oats, instant, fortified, with cinnamon and spice, dry",0.28
618437700013,52215200.0,"Tortilla, flour (wheat)",0.06
046675000723,11445000.0,"Yogurt, fruit and nuts, lowfat milk",0.27
046675000709,11445000.0,"Yogurt, fruit and nuts, lowfat milk",0.27
036632036032,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.2
041508800129,92410210.0,"Carbonated water, unsweetened",0.04
076301722118,64104010.0,Apple juice,0.02
043277000113,41420010.0,Soybean curd,0.11
090478415031,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.04
074323095852,53109250.0,"Cake, cupcake, not chocolate, with fruit and cream filling",0.33
041299946600,14106200.0,"Cheese, Monterey",0.09
028400040112,54401210.0,"Salty snacks, corn based puffs and twists, cheese puffs and twists, lowfat",1.37
717544108870,64104010.0,Apple juice,0.02
717544125907,64124020.0,Pineapple juice,0.03
717544104056,41302020.0,"Chickpeas, dry, cooked, fat not added in cooking",0.12
053800036014,75510020.0,"Olives, black",0.27
076808521801,20120.0,"Spaghetti, dry, enriched",0.08
041250048459,91731000.0,"Peanuts, chocolate covered",0.21
041250048473,91739010.0,"Raisins, chocolate covered",0.28
041250008545,71201015.0,"White potato chips, regular cut",0.21
072220100778,51101000.0,"Bread, white",0.04
6924187840690,43102000.0,"Sunflower seeds, hulled, unroasted, without salt",0.19
716270001554,91705060.0,"Milk chocolate candy, with almonds",0.34
748239105218,74404010.0,"Spaghetti sauce, meatless",0.04
052833111644,14107010.0,"Cheese, Mozzarella, NFS",0.08
074323091052,54338000.0,"Crackers, wheat",0.11
032184850348,92510610.0,Fruit juice drink,0.01
011110496102,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
011110075222,53201000.0,"Cookie, NFS",0.06
011110601742,53201000.0,"Cookie, NFS",0.04
042222130219,24207000.0,"Turkey, ground",0.03
041196891492,18079.0,"Bread crumbs, dry, grated, plain",0.02
078742079776,92305090.0,"Tea, made from powdered instant, presweetened with low calorie sweetener",0.64
052100090030,2029.0,"Spices, parsley, dried",1.27
078742108292,8122.0,"Cereals, oats, instant, fortified, plain, dry",0.27
884912001191,57100100.0,"Cereal, ready-to-eat, NFS",0.23
078742374338,75506010.0,Mustard,0.11
644209290475,91351010.0,"Syrup, dietetic",0.05
043000051344,92191100.0,"Coffee, dry instant powder, regular",0.04
070348001014,14201500.0,"Cheese, Ricotta",0.05
072392010448,91500200.0,"Gelatin powder, sweetened, dry",0.6
072392010455,91500200.0,"Gelatin powder, sweetened, dry",0.6
072745786471,5091.0,"Chicken, broilers or fryers, thigh, meat and skin, raw",0.02
053000072102,14107030.0,"Cheese, Mozzarella, part skim",0.14
072745788727,5066.0,"Chicken, broilers or fryers, drumstick, meat and skin, raw",0.02
074690037806,71202000.0,"White potato, chips, unsalted",0.16
046800087940,83112000.0,Avocado dressing,0.07
071040065311,14107030.0,"Cheese, Mozzarella, part skim",0.15
071301053125,51201010.0,"Bread, whole wheat, 100%",0.27
041735004758,82104000.0,Olive oil,0.09
046800001090,83112500.0,Creamy dressing,0.08
789707720212,75114000.0,"Mixed salad greens, raw",0.17
011213037097,63101110.0,"Applesauce, stewed apples, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",0.06
072730231153,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.01
300878349608,11830160.0,"Cocoa (or chocolate) flavored beverage powder with sugar, dry mix, not reconstituted",0.06
013000009638,74406010.0,Barbecue sauce,0.06
037297944472,20017.0,"Corn flour, masa, enriched, white",0.02
048001711273,56201750.0,"Cornstarch, dry",0.11
072360002031,74402150.0,"Salsa, red, commercially-prepared",0.2
074562001027,14100100.0,"Cheese, natural, NFS",0.14
717544301851,12310100.0,Sour cream,0.03
011225021107,63311140.0,"Fruit cocktail, cooked or canned, in light syrup",0.03
717544110095,91300100.0,"Pancake syrup, NFS",0.03
044000028084,54301000.0,"Cracker, snack",0.03
073390008383,91750000.0,Taffy,0.46
743209182558,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.02
077260096784,91705300.0,"Chocolate, sweet or dark",0.29
022000001733,91801000.0,"Chewing gum, sugared",2.12
002200000170,91801000.0,"Chewing gum, sugared",2.12
791083004510,11623000.0,"Meal supplement or replacement, commercially prepared, ready-to-drink",0.02
026400290155,11112110.0,"Milk, cow's, fluid, 2% fat",0.1
062067019517,93101000.0,Beer,0.01
045000001336,53342070.0,"Pie, chocolate cream, individual size or tart",0.2
070459009152,51184030.0,"Bread stick, soft, prepared with garlic and parmesan cheese",0.07
020662002785,83205450.0,"Italian dressing, light",0.06
688267083037,5314.0,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, enhanced, raw",0.06
041130380716,22311450.0,"Ham, prosciutto",0.38
024842076504,58134680.0,"Tortellini, cheese-filled, no sauce",0.08
070277291159,14104400.0,"Cheese, Feta",0.27
041331124126,41101120.0,"White beans, dry, cooked, fat not added in cooking",0.1
074641018021,63311050.0,"Fruit salad, fresh or raw, (including citrus fruits), no dressing",0.19
043695240948,58126270.0,"Turnover, chicken- or turkey-, and cheese-filled, no gravy",0.15
072655405868,28143150.0,Chicken and vegetable entree with noodles (diet frozen meal),0.15
023700029188,24122120.0,"Chicken, breast, roasted, broiled, or baked, skin not eaten",0.06
072655460027,58304060.0,Spaghetti with meat sauce (diet frozen meal),0.1
072655405028,58132910.0,Spaghetti with tomato sauce and poultry,0.12
044000023737,54328200.0,"Cracker, sandwich-type, cheese-filled",0.18
014100086116,54304000.0,"Cracker, cheese",0.09
041331021463,74410110.0,Puerto Rican seasoning with ham,0.14
078742130163,74406100.0,"Steak sauce, tomato-base",0.05
087684005125,92552030.0,"Fruit juice drink, reduced sugar, with vitamin E",0.01
681131781138,94100100.0,"Water, bottled, unsweetened",0.01
044000031275,54304000.0,"Cracker, cheese",0.1
068938000035,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.01
051500720042,81103090.0,"Margarine-like spread, liquid, salted",0.25
048121135416,51180030.0,"Bagel, with raisins",0.1
077661113981,12350000.0,"Dip, sour cream base",0.09
084114032386,71201020.0,"White potato chips, ruffled, rippled, or crinkle cut",0.14
050700036113,57417000.0,"Shredded Wheat, 100%",0.24
050700008066,14107010.0,"Cheese, Mozzarella, NFS",0.17
050700046525,14120010.0,"Cheese, Mexican blend",0.21
041716871751,14107030.0,"Cheese, Mozzarella, part skim",0.07
041271003017,14201010.0,"Cheese, cottage, creamed, large or small curd",0.06
078000063165,92410350.0,"Soft drink, cola-type, decaffeinated, sugar-free",0.01
015700131022,12120100.0,"Cream, half and half",0.03
050700212944,14303010.0,"Cheese, cream, light or lite (formerly called Cream Cheese Lowfat)",0.14
039217053561,52215200.0,"Tortilla, flour (wheat)",0.07
076132130014,2034.0,"Spices, poultry seasoning",0.68
051500023211,91406600.0,"Jams, preserves, marmalades, low sugar (all flavors)",0.06
050700246994,91301030.0,"Corn syrup, light or dark",0.02
048700252084,73201010.0,"Pumpkin, cooked, NS as to form, fat not added in cooking",0.04
011384206438,11411300.0,"Yogurt, plain, nonfat milk",0.27
048000011978,26137180.0,"Salmon, canned",0.22
717854106542,58108050.0,Pizza rolls,0.23
717854106290,28110660.0,"Meatballs, Swedish, in gravy, with noodles (diet frozen meal)",0.12
717854106580,58306100.0,Chicken enchilada (diet frozen meal),0.15
016000424166,91708030.0,Fruit leather and fruit snacks candy,0.25
050700254630,2034.0,"Spices, poultry seasoning",0.98
017400105358,20036.0,"Rice, brown, long-grain, raw",0.14
721355002067,75111500.0,"Garlic, raw",0.06
074562002109,12310100.0,Sour cream,0.09
043000046814,92191100.0,"Coffee, dry instant powder, regular",0.05
052100002545,2024.0,"Spices, mustard seed, ground",0.61
089924278917,93101000.0,Beer,0.02
780369719606,93101000.0,Beer,0.02
337508013950,93401010.0,"Wine, table, red",0.05
606520101021,26155190.0,"Tuna, canned, water pack",0.27
727766001569,14104010.0,"Cheese, natural, Cheddar or American type",0.19
635732256335,11112210.0,"Milk, cow's, fluid, 1% fat",0.02
070796331411,20099.0,"Macaroni, dry, enriched",0.08
015900063260,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.05
036632006226,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.05
020471120182,11112110.0,"Milk, cow's, fluid, 2% fat",0.02
051900801037,25230210.0,"Ham, sliced, prepackaged or deli, luncheon meat",0.1
051500280034,91305020.0,"Icing, white",0.07
051500554951,18144.0,"Cake, yellow, dry mix, regular, enriched",0.02
071169813350,91707000.0,Fondant,0.08
071169770073,91707000.0,Fondant,0.11
071169778048,91305020.0,"Icing, white",0.13
071169778154,91305020.0,"Icing, white",0.13
041449415208,18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",0.08
051500605905,18137.0,"Cake, white, dry mix, regular",0.02
042197000128,58106733.0,"Pizza with extra meat and extra vegetables, prepared from frozen, thin crust",0.07
034000040315,91705060.0,"Milk chocolate candy, with almonds",0.31
011110608369,31101010.0,"Egg, whole, raw",0.07
070662030110,6583.0,"Soup, ramen noodle, any flavor, dry",0.29
070662030035,6583.0,"Soup, ramen noodle, any flavor, dry",0.29
044700065600,9127520380.0,"LUNCHABLES, TURKEY  AND CHEESE",0.12
773479701043,53450000.0,"Turnover or dumpling, apple",0.12
035971359109,75101000.0,"Bean sprouts, raw (soybean or mung)",0.21
030000310397,54318500.0,"Rice cake, cracker-type",0.63
041250941873,75216153.0,"Corn, yellow, from canned, cream style",0.1
708820393615,74201003.0,"Tomatoes, cooked, from canned, NS as to method",0.11
041250913139,14204010.0,"Cheese, cottage, lowfat (1-2% fat)",0.04
064144044818,58131323.0,"Ravioli, meat-filled, with tomato sauce or meat sauce, canned",0.02
039272027675,25221850.0,"Turkey sausage, smoked",0.03
052100574110,2034.0,"Spices, poultry seasoning",0.39
719283784919,13110100.0,"Ice cream, regular, flavors other than chocolate",0.04
681131916882,75141000.0,"Cabbage salad or coleslaw, made with coleslaw dressing",0.04
681131916844,71603010.0,"Potato salad, made with mayonnaise",0.06
078742373867,5066.0,"Chicken, broilers or fryers, drumstick, meat and skin, raw",0.03
041498129460,18144.0,"Cake, yellow, dry mix, regular, enriched",0.01
078742230535,20099.0,"Macaroni, dry, enriched",0.08
049200042014,91101010.0,"Sugar, white, granulated or lump",0.04
041335334583,83205450.0,"Italian dressing, light",0.06
075457129000,11112210.0,"Milk, cow's, fluid, 1% fat",0.05
688267094408,51601020.0,"Bread, multigrain",0.12
602652171444,53540904.0,Nature Valley Sweet and Salty Nut Granola Bar,0.27
078742371382,16039.0,"Beans, navy, mature seeds, canned",0.09
038000599453,54401050.0,"Salty snacks, corn or cornmeal base, corn puffs and twists; corn-cheese puffs and twists",0.26
051000156358,75657000.0,"Vegetable broth, bouillon",0.03
043119002602,11115300.0,"Buttermilk, fluid, whole",0.04
027568018070,14100100.0,"Cheese, natural, NFS",0.09
038000716232,11623000.0,"Meal supplement or replacement, commercially prepared, ready-to-drink",0.02
074683003108,91301060.0,Maple syrup (100% maple),0.09
072745804083,24198700.0,"Chicken patty, fillet, or tenders, breaded, cooked",0.03
021248225246,2020.0,"Spices, garlic powder",0.11
855710000037,92191200.0,"Coffee, dry instant powder, decaffeinated",0.08
035493897936,26158020.0,"Tilapia, coated, baked or broiled, made  with oil",0.04
034500632034,12130100.0,"Cream, heavy, fluid",0.04
071279780061,72116000.0,"Endive, chicory, escarole, or romaine lettuce, raw",0.39
071279780047,75114000.0,"Mixed salad greens, raw",0.36
024000041061,74403110.0,Tomato paste,0.3
051600002505,41420450.0,Worcestershire sauce,0.03
038000716294,11623000.0,"Meal supplement or replacement, commercially prepared, ready-to-drink",0.02
072600102972,73410210.0,"Sweet potato, chips",0.84
632565000036,94100100.0,"Water, bottled, unsweetened",0.02
021130513321,64401000.0,Vinegar,0.09
025000056765,64104010.0,Apple juice,0.03
604183121424,74402250.0,"Enchilada sauce, red",0.19
073731081044,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.07
072945611603,51301510.0,"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",0.05
076410140667,54328100.0,"Cracker, sandwich-type, peanut butter filled",0.02
011141102652,92191100.0,"Coffee, dry instant powder, regular",0.03
089068345537,91501010.0,Gelatin dessert,0.15
089068345544,91501010.0,Gelatin dessert,0.15
042743123158,11115300.0,"Buttermilk, fluid, whole",0.09
645230011534,25210410.0,"Frankfurter or hot dog, turkey",0.11
787359175084,54402080.0,"Salty snacks, corn or cornmeal base, tortilla chips, unsalted",0.39
883038002808,11553000.0,"Fruit smoothie drink, made with fruit or fruit juice and dairy products",0.27
815473011138,11553000.0,"Fruit smoothie drink, made with fruit or fruit juice and dairy products",0.24
815473011053,11553000.0,"Fruit smoothie drink, made with fruit or fruit juice and dairy products",0.24
883038002815,11553000.0,"Fruit smoothie drink, made with fruit or fruit juice and dairy products",0.27
883038000507,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
076183129067,92510610.0,Fruit juice drink,0.05
076183129210,92510610.0,Fruit juice drink,0.05
076183129197,92510610.0,Fruit juice drink,0.05
034000001446,91734500.0,Peanut butter morsels,0.1
072250904209,53109200.0,"Snack cake, not chocolate, with icing or filling",0.03
034000001859,91304020.0,"Topping, chocolate, thick, fudge type",0.04
024000014416,75216153.0,"Corn, yellow, from canned, cream style",0.19
084916128775,14420000.0,"Cheese spread, NFS",0.19
081054334501,93401020.0,"Wine, table, white",0.05
078700015587,51301010.0,"Bread, wheat or cracked wheat",0.06
034000016617,91705010.0,"Milk chocolate candy, plain",0.02
751666724334,74101000.0,"Tomatoes, raw",0.06
016000441453,53540906.0,Nature Valley Crunchy Granola Bar,0.04
180530000968,11623000.0,"Meal supplement or replacement, commercially prepared, ready-to-drink",0.01
681131714761,26137100.0,"Salmon, raw",0.12
033383096018,63101000.0,"Apple, raw",0.04
830108000141,92307400.0,"Tea, powdered instant, sweetened, NS as to sweetener, dry",0.02
025444444449,31101010.0,"Egg, whole, raw",0.02
042743191195,42404010.0,"Coconut water, canned or bottled",0.06
011213384375,14109010.0,"Cheese, Swiss",0.21
011213384382,14106200.0,"Cheese, Monterey",0.19
011213384436,14104250.0,"Cheese, Colby Jack",0.19
071600061067,13110100.0,"Ice cream, regular, flavors other than chocolate",0.04
071600061227,13110110.0,"Ice cream, regular, chocolate",0.03
071600063153,13110100.0,"Ice cream, regular, flavors other than chocolate",0.04
011213860145,22701010.0,"Pork, spareribs, cooked, lean and fat eaten",0.07
011213903347,14106200.0,"Cheese, Monterey",0.19
078742371085,63113030.0,Cherry pie filling,0.08
078742434001,52101020.0,"Biscuit dough, raw",0.05
052100090009,2030.0,"Spices, pepper, black",0.16
052100071039,2052.0,"Vanilla extract, imitation, no alcohol",0.66
072945761469,51320500.0,"Roll, whole wheat, NS as to 100%",0.15
041300012683,51301010.0,"Bread, wheat or cracked wheat",0.07
078000052084,92410710.0,Root beer,0.0
072030012018,53520160.0,"Doughnut, chocolate, cake type, with chocolate icing",0.03
041820105094,75503010.0,"Cucumber pickles, dill",0.05
015400019361,2047.0,"Salt, table",0.05
015400005944,55203000.0,"Waffle, fruit",0.1
034100868055,93101000.0,Beer,0.02
041258752808,28340140.0,"Chicken broth, bouillion, or consomme, dry, not reconstituted",0.42
034986101994,63401060.0,"Apple, candied",0.16
078742122533,52101020.0,"Biscuit dough, raw",0.03
050000622634,53200100.0,"Cookie, batter or dough, raw",0.05
078742086163,53201000.0,"Cookie, NFS",0.09
078742086361,53209000.0,"Cookie, chocolate, chocolate sandwich or chocolate-coated or striped",0.07
683744002617,76209010.0,"Sweet potatoes, baby food, strained",0.23
683744002624,67109010.0,"Pears, baby food, strained",0.26
014500013477,71104020.0,"White potato, roasted, fat added in cooking",0.14
M-3305,63117010.0,"Currants, raw",0.08
053000068815,14120010.0,"Cheese, Mexican blend",0.21
048500019511,92510610.0,Fruit juice drink,0.01
052779002327,31101010.0,"Egg, whole, raw",0.05
034700060583,11463.0,"Spinach, frozen, chopped or leaf, unprepared",0.13
034700493435,72201100.0,"Broccoli, raw",0.14
028700109434,9017.0,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",0.11
070560977715,41107000.0,"Soybeans, cooked, fat not added in cooking",0.18
017600088086,41205010.0,Refried beans,0.1
017600081025,52215300.0,"Taco shell, corn",0.27
049200045619,91101010.0,"Sugar, white, granulated or lump",0.01
041755009146,92510610.0,Fruit juice drink,0.01
042400141419,57306130.0,Malt-O-Meal Raisin Bran,0.04
050700315225,74403110.0,Tomato paste,0.3
070870001070,51101000.0,"Bread, white",0.04
074700100155,10123.0,"Pork, cured, bacon, unprepared",0.11
061500005131,92410360.0,"Soft drink, pepper-type",0.01
052000132267,92560100.0,Gatorade Thirst Quencher sports drink,0.02
041335000341,83105500.0,Honey mustard dressing,0.07
041335000617,83203000.0,"Caesar dressing, light",0.07
027000379097,74201003.0,"Tomatoes, cooked, from canned, NS as to method",0.05
041331090926,58116120.0,"Empanada, Mexican turnover, filled with meat and vegetables",0.11
033383701516,75122000.0,"Pepper, raw, NFS",0.05
041415000490,71505000.0,"White potato, puffs",0.05
041415069459,26319130.0,"Shrimp, steamed or boiled",0.06
793573875273,14108010.0,"Cheese, Parmesan, dry grated",0.17
041196060539,27150140.0,"Clam sauce, white",0.15
041196060560,27150140.0,"Clam sauce, white",0.1
793573142962,14108010.0,"Cheese, Parmesan, dry grated",0.17
041415180659,14107010.0,"Cheese, Mozzarella, NFS",0.17
077515001044,16042.0,"Beans, pinto, mature seeds, raw",0.03
024000001966,63141170.0,"Pineapple, cooked or canned, juice pack",0.13
040000438069,91726130.0,MILKY WAY Bar,0.09
300871365612,3814.0,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, powder, not reconstituted",0.04
041000003011,6128.0,"Soup, chicken noodle, dry, mix",0.18
038000304200,53530000.0,Breakfast tart,0.04
023000351958,75230010.0,"Sauerkraut, cooked, fat not added in cooking",0.06
072310010871,92306000.0,"Tea, herbal",0.89
015700052013,11830100.0,"Cocoa (or chocolate) with dry milk and sugar, dry mix, not reconstituted",0.11
072310001909,92302000.0,"Tea, leaf, unsweetened",0.73
070560909402,72201100.0,"Broccoli, raw",0.03
077644303323,74404010.0,"Spaghetti sauce, meatless",0.04
041498151614,16042.0,"Beans, pinto, mature seeds, raw",0.06
041498158941,53233010.0,"Cookie, oatmeal, with raisins",0.08
041498157708,53206000.0,"Cookie, chocolate chip",0.05
711381025420,91404000.0,"Marmalade, all flavors",0.09
766694001036,6101.0,"Soup, cream of vegetable, dry, powder",0.17
034856810865,91739600.0,"Raisins, yogurt covered",0.2
050100459543,28143150.0,Chicken and vegetable entree with noodles (diet frozen meal),0.13
050100408213,28141050.0,"Chicken patty parmigiana, breaded, with vegetable (diet frozen meal)",0.16
070272232034,12140100.0,"Cream, whipped, pressurized container",0.14
044800750055,91108000.0,"Sugar substitute, herbal extract sweetener, powder",0.67
041729143913,27111400.0,"Chili con carne, NS as to beans",0.08
711381024010,41420400.0,Teriyaki sauce,0.04
711381000427,63409020.0,Chutney,0.19
711381002032,74406010.0,Barbecue sauce,0.08
041130003226,75219013.0,"Mushrooms, cooked, from canned, fat not added in cooking",0.24
054100171801,75503010.0,"Cucumber pickles, dill",0.04
078700002020,51101000.0,"Bread, white",0.04
076829024176,10123.0,"Pork, cured, bacon, unprepared",0.08
072830009911,14104010.0,"Cheese, natural, Cheddar or American type",0.19
041130380570,14108010.0,"Cheese, Parmesan, dry grated",0.27
041130018466,75109600.0,"Corn, raw",0.12
070422236004,12310100.0,Sour cream,0.04
070422165007,11115300.0,"Buttermilk, fluid, whole",0.04
074030000033,14107010.0,"Cheese, Mozzarella, NFS",0.08
041331013734,2054.0,"Capers, canned",0.64
075669126200,91102010.0,"Sugar, brown",0.05
073435000013,51160000.0,"Roll, sweet, no frosting",0.06
011110894472,2054.0,"Capers, canned",0.37
011110852656,75510010.0,"Olives, green",0.25
721059007504,93505000.0,Vodka,0.05
040000416289,91731010.0,M&M's Peanut Chocolate Candies,0.08
034000449002,91734100.0,Reese's Peanut Butter Cup,0.1
098649012522,93401010.0,"Wine, table, red",0.05
041498127817,18369.0,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",0.1
041498159696,91304020.0,"Topping, chocolate, thick, fudge type",0.06
041498138141,53530000.0,Breakfast tart,0.04
041498128616,32002.0,"Rice and vermicelli mix, rice pilaf flavor, unprepared",0.13
041498194000,10123.0,"Pork, cured, bacon, unprepared",0.11
041498192334,52101020.0,"Biscuit dough, raw",0.03
041498191702,51180010.0,Bagel,0.03
041498191467,53511000.0,"Danish pastry, with cheese",0.08
041498120016,63103140.0,"Apricot, cooked or canned, in light syrup",0.06
041498154745,24122120.0,"Chicken, breast, roasted, broiled, or baked, skin not eaten",0.22
024300041679,53236100.0,"Cookie, pumpkin",0.13
010700808400,91732000.0,Peanut bar,0.08
731216669766,53237000.0,"Cookie, raisin",0.05
058449770565,57227000.0,"Granola, NFS",0.06
070074534466,3853.0,"Infant formula, ABBOTT NUTRITION, SIMILAC, with iron, powder, not reconstituted (formerly ROSS)",0.04
639372022169,41435110.0,"High protein bar, candy-like, soy and milk base",0.15
071725727503,43102000.0,"Sunflower seeds, hulled, unroasted, without salt",0.11
070690023870,42101000.0,"Almonds, unroasted",0.11
025500200293,92191100.0,"Coffee, dry instant powder, regular",0.27
016000146228,53540906.0,Nature Valley Crunchy Granola Bar,0.25
010300543251,42110000.0,"Mixed nuts, NFS",0.43
025293001275,11321000.0,"Milk, soy, ready-to-drink, not baby's, chocolate",0.19
014500013514,75100800.0,"Asparagus, raw",0.19
020000431970,75303010.0,"Corn with peppers, red or green, cooked, fat not added in cooking",0.13
041196911817,41603010.0,"Lentil soup, home recipe, canned, or ready-to-serve",0.08
078742064154,92570100.0,"Fluid replacement, electrolyte solution",0.01
078742064147,92570100.0,"Fluid replacement, electrolyte solution",0.01
072250078375,52215200.0,"Tortilla, flour (wheat)",0.03
050500004008,25221410.0,"Pork sausage, fresh, bulk, patty or link, cooked",0.1
708820336995,11511100.0,"Milk, chocolate, whole milk-based",0.02
713733222136,53235000.0,"Cookie, peanut butter sandwich",0.06
040000313489,91731010.0,M&M's Peanut Chocolate Candies,0.08
041250047438,6959.0,"Gravy, instant turkey, dry",0.86
041250047414,6957.0,"Gravy, brown instant, dry",0.22
041250047391,28500040.0,"Gravy, beef or meat",0.74
041308000286,20109.0,"Noodles, egg, dry, enriched",0.08
070022007158,52215260.0,"Tortilla, whole wheat",0.05
043000285329,18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",0.11
