barcode,foodcode,usdadescmain,hei_score
038900029708,63135140.0,"Peach, cooked or canned, in light or medium syrup",0.1
038900030117,63135110.0,"Peach, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",0.09
030000047606,8092.0,"Cereals, QUAKER, corn grits, instant, plain, dry",0.08
052500050054,83107000.0,"Mayonnaise, regular",0.05
010389571169,15114.0,"Fish, trout, mixed species, raw",0.08
050000301621,12210400.0,"Cream substitute, powdered",0.06
080000006738,26155190.0,"Tuna, canned, water pack",0.27
021000658862,22959.0,"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",0.07
035826025517,11111000.0,"Milk, cow's, fluid, whole",0.01
070470271040,11432500.0,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener",0.33
070470006383,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.23
070470006529,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.34
070470006642,11422100.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener",0.28
070470006550,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.34
045000600096,53520110.0,"Doughnut, cake type",0.07
076410900513,54328000.0,"Crackers, sandwich-type, NFS",0.09
725439100663,92302000.0,"Tea, leaf, unsweetened",0.15
076138004104,91733000.0,Peanut brittle,0.31
725439109321,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
725439104814,12310350.0,"Sour cream, light",0.11
713176010482,41205070.0,Hummus,0.23
M-4244,63219000.0,"Raspberries, raw, NS as to color",0.34
M-4240,63203010.0,"Blueberries, raw",0.34
049000006346,92410310.0,"Soft drink, cola-type",0.01
884912001184,57305150.0,Frosted oat cereal with marshmallows,0.19
016000275072,57125000.0,Cinnamon Toast Crunch,0.15
050200003301,92531030.0,"Fruit juice drink, with thiamin (vitamin B1) and high vitamin C",0.01
015900000975,25210280.0,"Frankfurter or hot dog, meat and poultry",0.1
020323005124,21500100.0,"Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)",0.04
039400028345,41208030.0,Pork and beans,0.07
070353316240,41104020.0,"Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking",0.11
050700085081,72122213.0,"Mustard greens, cooked, from canned, fat not added in cooking",0.12
050700290119,94100100.0,"Water, bottled, unsweetened",0.01
071000188128,92510610.0,Fruit juice drink,0.01
049000031652,94100100.0,"Water, bottled, unsweetened",0.0
028621304987,31101010.0,"Egg, whole, raw",0.03
072486002205,18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",0.08
070110054705,58100350.0,"Burrito with eggs and cheese, no beans",0.08
021000615261,14410200.0,"Cheese, processed, American or Cheddar type",0.08
044700009741,25220410.0,"Bologna, NFS",0.07
071179491906,71405020.0,"White potato, hash brown, from frozen",0.08
049000052350,92410310.0,"Soft drink, cola-type",0.01
071025016086,51101000.0,"Bread, white",0.05
028000005870,91705030.0,Kit Kat,1.17
040000007005,91726425.0,3 Musketeers Truffle Crisp Bar,0.87
040000001607,91745100.0,Skittles,0.34
034000003402,91703040.0,"Caramel candy, chocolate covered",0.77
028400034319,71201020.0,"White potato chips, ruffled, rippled, or crinkle cut",0.19
028400002899,54401020.0,"Salty snacks, corn or cornmeal base, corn chips, corn-cheese chips",0.19
043301410024,71505000.0,"White potato, puffs",0.05
M-4727,11352.0,"Potato, flesh and skin, raw",0.07
M-4651,75115000.0,"Mushrooms, raw",0.26
098308002802,28340140.0,"Chicken broth, bouillion, or consomme, dry, not reconstituted",0.17
044115343409,83115000.0,Yogurt dressing,0.08
041789006227,6583.0,"Soup, ramen noodle, any flavor, dry",0.04
051500253625,82101000.0,"Vegetable oil, NFS",0.03
049000030129,92410710.0,Root beer,0.0
049000030747,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
049000030730,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
021000604647,14410200.0,"Cheese, processed, American or Cheddar type",0.11
041429473006,75510010.0,"Olives, green",0.15
051500241288,42202000.0,Peanut butter,0.09
016000275645,57123000.0,Cheerios,0.26
028000008215,64100100.0,"Fruit juice, NFS",0.03
070474100209,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
688267033568,31101010.0,"Egg, whole, raw",0.07
884912001542,57237100.0,Honey Bunches of Oats Honey Roasted Cereal,0.08
072359345378,51161200.0,"Roll, sweet, with nuts, no frosting",0.18
